Sender: LSF System <lsfadmin@c-195-34>
Subject: Job 974030: <python Bayes_MAP.py --MAP> in cluster <killdevil> Done

Job <python Bayes_MAP.py --MAP> was submitted from host <killdevil-login2> by user <wcstrick> in cluster <killdevil>.
Job was executed on host(s) <12*c-195-34>, in queue <week>, as user <wcstrick> in cluster <killdevil>.
</nas02/home/w/c/wcstrick> was used as the home directory.
</nas02/home/w/c/wcstrick/Parasitoids_h_2/analytic> was used as the working directory.
Started at Mon Aug  8 12:29:23 2016
Results reported on Tue Aug  9 02:09:49 2016

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
python Bayes_MAP.py --MAP
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   421153.84 sec.
15.8 sec./model at 13:34:26 08/08/2016
15.8 sec./model at 13:34:42 08/08/2016
15.8 sec./model at 13:34:57 08/08/2016
15.8 sec./model at 13:35:13 08/08/2016
15.8 sec./model at 13:35:29 08/08/2016
15.5 sec./model at 13:35:45 08/08/2016
15.8 sec./model at 13:36:00 08/08/2016
15.8 sec./model at 13:36:16 08/08/2016
15.8 sec./model at 13:36:32 08/08/2016
15.8 sec./model at 13:36:48 08/08/2016
15.8 sec./model at 13:37:04 08/08/2016
15.8 sec./model at 13:37:19 08/08/2016
15.8 sec./model at 13:37:35 08/08/2016
15.8 sec./model at 13:37:51 08/08/2016
15.8 sec./model at 13:38:07 08/08/2016
15.8 sec./model at 13:38:23 08/08/2016
15.9 sec./model at 13:38:39 08/08/2016
15.9 sec./model at 13:38:55 08/08/2016
15.8 sec./model at 13:39:10 08/08/2016
15.8 sec./model at 13:39:26 08/08/2016
15.8 sec./model at 13:39:42 08/08/2016
15.8 sec./model at 13:39:58 08/08/2016
15.8 sec./model at 13:40:14 08/08/2016
15.8 sec./model at 13:40:30 08/08/2016
15.8 sec./model at 13:40:46 08/08/2016
15.8 sec./model at 13:41:01 08/08/2016
15.8 sec./model at 13:41:17 08/08/2016
15.8 sec./model at 13:41:33 08/08/2016
15.8 sec./model at 13:41:49 08/08/2016
15.8 sec./model at 13:42:05 08/08/2016
15.8 sec./model at 13:42:20 08/08/2016
15.8 sec./model at 13:42:39 08/08/2016
15.8 sec./model at 13:42:56 08/08/2016
15.8 sec./model at 13:43:12 08/08/2016
15.8 sec./model at 13:43:28 08/08/2016
15.8 sec./model at 13:43:44 08/08/2016
15.8 sec./model at 13:43:59 08/08/2016
15.8 sec./model at 13:44:15 08/08/2016
15.8 sec./model at 13:44:31 08/08/2016
15.8 sec./model at 13:44:47 08/08/2016
15.8 sec./model at 13:45:03 08/08/2016
15.8 sec./model at 13:45:19 08/08/2016
15.8 sec./model at 13:45:34 08/08/2016
15.8 sec./model at 13:45:50 08/08/2016
15.8 sec./model at 13:46:06 08/08/2016
15.8 sec./model at 13:46:22 08/08/2016
